Invoice,ValueM,InvoiceDate,Customer ID,Churn
536365,139.12,12,17850.0,1
536366,22.200000000000003,12,17850.0,1
536367,278.73,12,13047.0,1
536368,70.05000000000001,12,13047.0,1
536369,17.85,12,13047.0,0
536370,855.86,12,12583.0,0
536371,204.0,12,13748.0,0
536372,22.200000000000003,12,17850.0,0
536373,259.86,12,17850.0,0
536374,350.4,12,15100.0,0
536375,259.86,12,17850.0,0
536376,328.8,12,15291.0,0
536377,22.200000000000003,12,17850.0,0
536378,444.98,12,14688.0,0
536380,34.8,12,17809.0,0
536381,449.97999999999996,12,15311.0,0
536382,430.59999999999997,12,16098.0,1
536384,489.6,12,18074.0,0
536385,130.85,12,17420.0,0
536386,508.20000000000005,12,16029.0,1
536387,3193.92,12,16029.0,0
536388,226.14,12,16250.0,0
536389,358.25,12,12431.0,0
536390,1825.74,12,17511.0,0
536392,318.14000000000004,12,13705.0,1
536393,79.6,12,13747.0,1
536394,1024.6800000000003,12,13408.0,1
536395,507.8800000000001,12,13767.0,1
536396,376.36000000000007,12,17850.0,1
536397,279.0,12,17924.0,1
536398,426.56000000000006,12,13448.0,0
536399,22.200000000000003,12,17850.0,0
536400,17.4,12,13448.0,0
536401,354.2299999999999,12,15862.0,0
536402,357.0,12,15513.0,1
536403,192.60000000000002,12,12791.0,1
536404,471.29999999999995,12,16218.0,1
536405,326.4,12,14045.0,1
536406,353.14000000000004,12,17850.0,1
536407,22.200000000000003,12,17850.0,1
536408,783.1099999999999,12,14307.0,1
536409,243.2799999999999,12,17908.0,0
536412,514.4099999999999,12,17920.0,0
536414,0.0,12,,0
536415,390.78999999999985,12,12838.0,1
536416,225.7,12,13255.0,0
